0	lemma	bet_1	bet_2	cosine	onto	frame	score	main_sense	figurative	label
96	afsnit	1	5	0.17034566402435303	1	0	15	0	0	1
97	afsnit	2	3	0.27317601442337036	2	0	8	0	0	1
98	afsnit	2	3.a	0.2493758201599121	0	0	8	0	0	1
99	afsnit	2	4	0.3056762218475342	0	0	8	0	0	1
100	afsnit	2	5	0.25536274909973145	1	0	8	0	0	1
101	afsnit	3	3.a	0.19905364513397217	0	0	0	1	0	1
102	afsnit	3	4	0.280653715133667	0	0	0	0	0	1
103	afsnit	3	5	0.15661680698394775	1	0	0	0	0	1
104	afsnit	3.a	4	0.27578234672546387	0	0	0	0	0	1
105	afsnit	3.a	5	0.210868239402771	0	0	0	0	0	1
106	afsnit	4	5	0.2401524782180786	1	0	0	0	0	1
107	afstand	1	1.b	0.5069915354251862	1	0	17	1	1	1
108	afstemning	1	2	0.4564635753631592	0	0	6	0	0	1
109	afsætte	1	2	0.4019011855125427	2	0	9	0	0	1
110	afsætte	1	2.a	0.41101938486099243	0	0	11	0	0	1
111	afsætte	1	3	0.43258100748062134	0	0	7	0	0	1
112	afsætte	1	4	0.4034464359283447	1	0	9	0	0	1
113	afsætte	1	4.a	0.3883974552154541	1	0	9	0	0	1
114	afsætte	2	2.a	0.3524521589279175	0	0	2	1	0	0
115	afsætte	2	3	0.3988836407661438	0	0	2	0	0	1
116	afsætte	2	4	0.48605501651763916	1	0	0	0	0	1
117	afsætte	2	4.a	0.40820562839508057	1	0	0	0	0	1
118	afsætte	2.a	3	0.3527352213859558	0	0	4	0	0	1
119	afsætte	2.a	4	0.4622432589530945	0	0	2	0	0	1
120	afsætte	2.a	4.a	0.39389097690582275	0	0	2	0	0	1
121	afsætte	3	4	0.4725573658943176	1	0	2	0	0	1
122	afsætte	3	4.a	0.3800683617591858	1	0	2	0	0	1
123	afsætte	4	4.a	0.4090193510055542	4	0	0	1	0	0
124	aftale	1	1.a	0.1680482029914856	4	0	1	1	0	0
125	aftale	1	1.b	0.4624175429344177	2	0	5	1	0	1
126	aftale	1.a	1.b	0.46320968866348267	2	0	4	1	0	1
127	aftale	1	1.a	0.3638303279876709	2	0	2	1	0	0
128	afvise	1	1.a	0.3460302948951721	2	1	9	1	0	0
129	afvise	1	2	0.11539846658706665	3	0	14	0	0	1
130	afvise	1	2.a	0.4102189540863037	0	1	8	0	1	1
131	afvise	1.a	2	0.3661976456642151	2	0	5	0	0	1
132	afvise	1.a	2.a	0.3872947692871094	0	1	1	0	1	1
133	afvise	2	2.a	0.4070931673049927	0	0	6	1	1	0
134	afvisning	1	1.a	0.33270442485809326	0	0	4	1	0	0
135	afvisning	1	2	0.1469014286994934	0	0	2	0	0	1
136	afvisning	1	2.a	0.29425591230392456	0	0	3	0	1	1
137	afvisning	1.a	2	0.3826521039009094	0	0	2	0	0	1
138	afvisning	1.a	2.a	0.32653284072875977	0	0	1	0	1	1
139	afvisning	2	2.a	0.3061297535896301	0	0	1	1	1	0
140	agent	1	2	0.26358747482299805	3	0	1	0	0	1
141	agent	1	2.a	0.22964149713516235	3	0	2	0	0	1
142	agent	1	2.b	0.23668557405471802	3	0	3	0	0	1
143	agent	1	4	0.3485563397407532	0	0	1	0	0	1
144	agent	2	2.a	0.19507962465286255	3	0	1	1	0	0
145	agent	2	2.b	0.2866879105567932	3	0	2	1	0	0
146	agent	2	4	0.34492504596710205	0	0	0	0	0	1
147	agent	2.a	2.b	0.27872538566589355	3	0	1	1	0	0
148	agent	2.a	4	0.4150114059448242	0	0	1	0	0	1
149	agent	2.b	4	0.30036401748657227	0	0	2	0	0	1
150	aggressiv	1	1.a	0.08295536041259766	0	0	0	1	0	0
151	agt	1	2	0.4119720458984375	1	0	1	0	0	1
152	akademi	1	1.a	0.12733852863311768	5	0	0	1	0	0
153	akademi	1	2	0.31999021768569946	4	0	2	0	0	1
154	akademi	1.a	2	0.3102327585220337	4	0	2	0	0	1
155	akademisk	1	1.a	0.3492000102996826	0	0	2	1	1	1
156	akavet	1	1.a	0.3358267545700073	0	0	1	1	1	0
157	akkord	1	1.a	0.20754069089889526	0	0	2	1	0	0
158	akkord	1	3	0.5173396468162537	0	0	0	0	0	1
159	akkord	1.a	3	0.4751848578453064	0	0	2	0	0	1
