	0	1	2	3	4	5	6	7	8	9
96	agent	1	2.a	0.5479508638381958	3	0	2	0	0	1
97	agent	1	2.b	0.49002671241760254	3	0	3	0	0	1
98	agent	1	4	0.6554370224475861	0	0	1	0	0	1
99	agent	2	2.a	0.38579320907592773	3	0	1	1	0	0
100	agent	2	2.b	0.5098487436771393	3	0	2	1	0	0
101	agent	2	4	0.7348374128341675	0	0	0	0	0	1
102	agent	2.a	2.b	0.5534440577030182	3	0	1	1	0	0
103	agent	2.a	4	0.7684732973575592	0	0	1	0	0	1
104	agent	2.b	4	0.6944591701030731	0	0	2	0	0	1
105	aggressiv	1	1.a	0.4016498327255249	0	0	0	1	0	0
106	agt	1	2	0.8686201721429825	1	0	1	0	0	1
107	akademi	1	1.a	0.4836694598197937	5	0	0	1	0	0
108	akademi	1	2	0.7226235866546631	4	0	2	0	0	1
109	akademi	1.a	2	0.6370061337947845	4	0	2	0	0	1
110	akademisk	1	1.a	0.37107449769973755	0	0	2	1	1	1
111	akavet	1	1.a	0.5655857622623444	0	0	1	1	1	0
112	akkord	1	1.a	0.7767753601074219	0	0	2	1	0	0
113	akkord	1	3	0.9266165271401405	0	0	0	0	0	1
114	akkord	1.a	3	0.9347212240099907	0	0	2	0	0	1
115	akse	1	2	0.5271581709384918	3	0	3	0	0	1
116	akse	1	2.a	0.6154226660728455	3	0	4	0	0	1
117	akse	2	2.a	0.38826876878738403	3	0	1	1	0	0
118	akt	1	1.a	0.37268054485321045	0	0	4	1	1	1
119	akt	1	2	0.5481645166873932	0	0	2	0	0	1
120	akt	1	3	0.7672847360372543	4	0	3	0	0	1
121	akt	1	3.a	0.379271924495697	3	0	3	0	0	1
122	akt	1.a	2	0.7996129393577576	0	0	2	0	1	1
123	akt	1.a	3	0.6182543039321899	0	0	1	0	1	1
124	akt	1.a	3.a	0.5610876083374023	0	0	1	0	1	1
125	akt	2	3	0.737291544675827	0	0	1	0	0	1
126	akt	2	3.a	0.6531325876712799	0	0	1	0	0	1
127	akt	3	3.a	0.6633324921131134	2	0	0	1	0	1
128	aktiv	1	1.a	0.45287495851516724	0	0	12	1	0	0
129	aktiv	1	1.b	0.33369582891464233	0	0	1	1	0	0
130	aktiv	1	1.c	0.28280091285705566	0	0	9	1	0	1
131	aktiv	1.a	1.b	0.6756331324577332	0	0	11	1	0	0
132	aktiv	1.a	1.c	0.499472439289093	0	0	3	1	0	1
133	aktiv	1.b	1.c	0.32988786697387695	0	0	8	1	0	1
134	aktivitet	1	2	0.3280751705169678	2	0	4	0	0	0
135	aktivitet	1	3	0.48481786251068115	2	0	4	0	0	1
136	aktivitet	2	3	0.5186688601970673	1	0	8	0	0	1
137	akut	1	1.a	0.35497796535491943	0	0	7	1	0	0
138	akvarium	1	1.a	0.7460809946060181	1	0	1	1	0	1
139	alarm	1	1.a	0.7901969850063324	0	0	0	1	0	0
140	alarm	1	2	0.6056740283966064	0	0	5	0	0	1
141	alarm	1	2.a	0.7315954864025116	0	0	0	0	1	1
142	alarm	1.a	2	0.7378666996955872	0	0	5	0	0	1
143	alarm	1.a	2.a	0.46716296672821045	0	0	0	0	1	1
144	alarm	2	2.a	0.7624641954898834	0	0	5	1	1	1
145	album	1	2	0.41384297609329224	1	0	8	0	0	1
146	album	1	3	0.1419621706008911	0	0	1	0	0	0
147	album	2	3	0.30164867639541626	0	0	7	0	0	1
148	alder	1	1.a	0.33249431848526	2	0	16	1	0	0
149	alder	1	1.b	0.20832574367523193	0	0	13	1	0	0
150	alder	1	2	0.2708813548088074	2	0	20	0	0	1
151	alder	1.a	1.b	0.37485790252685547	0	0	3	1	0	0
152	alder	1.a	2	0.43067824840545654	2	0	4	0	0	1
153	alder	1.b	2	0.2847413420677185	0	0	7	0	0	1
154	alderdom	1	1.a	0.6424773633480072	0	0	5	1	0	0
155	alene	1	1.a	0.2901986837387085	0	0	15	1	0	0
156	alkohol	1	2	0.3503950834274292	2	0	2	0	0	1
157	alkoholfri	1	2	0.6027565598487854	0	0	1	0	0	0
158	alt	1	2	0.4334878921508789	0	0	1	0	0	1
159	alter	1	1.a	0.6879757940769196	0	0	0	1	1	0
160	alter	1	2	0.7318221032619476	2	0	0	0	0	1
161	alter	1.a	2	0.5892281532287598	0	0	0	0	1	1
162	aluminium	1	1.a	0.4887009859085083	1	0	1	1	0	1
163	alvor	1	2	0.18440067768096924	2	0	2	0	0	1
164	alvorlig	1	1.a	0.3065119981765747	1	0	17	1	0	1
165	alvorlig	1	2	0.29278117418289185	1	0	17	0	0	1
166	alvorlig	1	3	0.43405163288116455	0	0	14	0	0	1
167	alvorlig	1.a	2	0.34223365783691406	1	0	0	0	0	1
168	alvorlig	1.a	3	0.41464221477508545	0	0	3	0	0	1
169	alvorlig	2	3	0.3276614546775818	0	0	3	0	0	0
170	amatør	1	2	0.6498053967952728	2	0	1	0	0	1
171	ambassade	1	1.a	0.48774993419647217	1	0	2	1	0	1
172	ambitiøs	1	1.a	0.5596589148044586	0	0	3	1	0	0
173	amputere	1	1.a	0.8784393891692162	2	0	3	1	1	1
174	analyse	1	2	0.3642582297325134	2	0	11	0	0	1
175	anbefale	1	1.a	0.5494129657745361	0	1	4	1	0	0
176	anbefaling	1	2	0.39581722021102905	2	0	4	0	0	1
177	anbringe	1	1.a	0.6489936709403992	1	0	4	1	0	1
178	anbringe	1	1.b	0.6106489300727844	0	0	1	1	1	1
179	anbringe	1	2	0.45833325386047363	4	0	1	0	0	1
180	anbringe	1.a	1.b	0.8235853463411331	0	0	5	1	1	1
181	anbringe	1.a	2	0.5077679455280304	1	0	5	0	0	1
182	anbringe	1.b	2	0.5604589581489563	0	0	0	0	1	1
183	and	1	1.a	0.5912666022777557	2	0	3	1	0	1
184	andel	1	1.a	0.4265212416648865	2	0	1	1	0	1
185	andel	1	2	0.4119122624397278	1	0	1	0	0	1
186	andel	1.a	2	0.43616998195648193	1	0	2	0	0	1
187	anderledes	1	1.a	0.3152012228965759	0	0	8	1	0	0
188	anerkende	1	1.a	0.44551998376846313	0	0	6	1	0	0
189	anerkende	1	1.b	0.4862690567970276	0	0	8	1	0	0
190	anerkende	1	2	0.5578327178955078	0	0	1	0	0	1
191	anerkende	1.a	1.b	0.3758726716041565	0	0	2	1	0	0
192	anerkende	1.a	2	0.5601204037666321	0	0	7	0	0	1
193	anerkende	1.b	2	0.7053874135017395	2	0	9	0	0	1
194	anerkendelse	1	2	0.2536364793777466	2	0	5	0	0	1
195	anerkendelse	1	2.a	0.24719500541687012	0	0	7	0	0	1
196	anerkendelse	2	2.a	0.13665974140167236	0	0	2	1	0	0
197	anke	1	2	0.4354051351547241	4	0	6	0	0	1
198	anklage	1	1.a	0.5470641851425171	0	0	1	1	0	1
199	anklage	1	1.a	0.44059067964553833	0	0	5	1	0	1
200	anledning	1	2	0.15028059482574463	1	0	3	0	0	1
201	anledning	1	2.a	0.26176637411117554	1	0	8	0	0	1
202	anledning	2	2.a	0.20625847578048706	1	0	11	1	0	0
203	anmeldelse	1	2	0.7187065780162811	0	0	3	0	0	1
204	anmodning	1	1.a	0.5008738338947296	0	0	6	1	0	0
205	anonym	1	1.a	0.6190733909606934	0	0	9	1	0	0
206	anseelse	1	1.a	0.38832271099090576	0	1	4	1	0	0
207	anspændt	1	1.a	0.7779981791973114	1	0	1	1	0	0
208	anstrengelse	1	1.a	0.5680322051048279	3	0	2	1	0	0
